id,class
1,2
2,2
3,2
4,1
5,1
6,1
7,2
8,1
9,2
10,2
11,2
12,2
13,1
14,1
15,2
16,1
17,2
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,2
26,2
27,1
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,1
38,2
39,1
40,1
41,2
42,2
43,1
44,1
45,2
46,2
47,2
48,2
49,2
50,1
51,1
52,2
53,2
54,1
55,1
56,1
57,1
58,2
59,1
60,1
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,1
71,2
72,2
73,2
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,1
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,1
90,1
91,1
92,2
93,1
94,1
95,1
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,1
104,2
105,1
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,1
114,1
115,2
116,2
117,2
118,2
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,2
129,2
130,1
131,2
132,1
133,2
134,2
135,2
136,2
137,2
138,1
139,2
140,1
141,2
142,1
143,2
144,1
145,1
146,1
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,1
158,2
159,2
160,1
161,2
162,2
163,1
164,1
165,1
166,2
167,2
168,1
169,2
170,2
171,1
172,2
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,2
181,2
182,1
183,2
184,1
185,2
186,1
187,1
188,1
189,2
190,1
191,1
192,1
193,2
194,1
195,1
196,2
197,2
198,1
199,2
200,2
201,2
202,2
203,1
204,1
205,1
206,1
207,2
208,1
209,2
210,2
211,1
212,2
213,1
214,2
215,2
216,2
217,2
218,2
219,2
220,1
221,2
222,2
223,2
224,1
225,2
226,2
227,2
228,2
229,1
230,2
231,2
232,1
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,1
241,2
242,2
243,2
244,1
245,2
246,2
247,2
248,2
249,2
250,1
251,2
252,1
253,2
254,1
255,1
256,2
257,1
258,1
259,2
260,1
261,1
262,2
263,2
264,2
265,2
266,1
267,2
268,1
269,1
270,2
271,1
272,1
273,2
274,2
275,2
276,1
277,2
278,1
279,2
280,1
281,2
282,2
283,1
284,1
285,2
286,2
287,2
288,2
289,2
290,1
291,1
292,1
293,2
294,2
295,1
296,1
297,2
298,1
299,2
300,1
301,2
302,2
303,1
304,2
305,1
306,1
307,1
308,2
309,1
310,2
311,2
312,2
313,2
